type,price,position,capital,confidence,stop_loss,take_profit,reason,profit
buy,82862.0,0.003532800552072819,9705.90463231186,0.6811394761675917,82468.33392857143,83649.33214285714,signal,
trailing_stop,83100.37,,9999.481665325315,0.6656317559978326,,,trailing_stop,0.8421136675975814
buy,83150.95,0.0034281333767257082,9714.429118323864,0.6422939727043152,82880.31964285714,83692.2107142857,signal,
trailing_stop,82934.09,,9998.738240321238,0.0,,,trailing_stop,-0.7434250040767391
buy,82942.09,0.00352242510212026,9706.58094048292,0.6654935759669197,82684.18642857143,83457.89714285714,signal,
trailing_stop,82619.08,,9997.600461789001,0.6508333501322905,,,trailing_stop,-1.1377785322358467
buy,82719.03,0.003322605216865339,9722.75778117696,0.6105075208083726,82417.99785714285,83321.0942857143,signal,
close_long,82600.79,,9997.20759694816,0.6502309826892922,,,signal,-0.39286484084217504
buy,82605.38,0.0034638089961122874,9711.078338576885,0.6423079486112495,82376.66392857143,83062.81214285713,signal,
trailing_stop,82476.67,,9996.76177009227,0.0,,,trailing_stop,-0.44582685588963467
buy,82492.58,0.003639618388342502,9696.520259022454,0.6992281013050803,82178.68535714287,83120.36928571429,signal,
close_long,82469.54,,9996.677913284602,0.6205090417172534,,,signal,-0.08385680766744091
buy,82411.93,0.0033044400545973454,9724.352630815929,0.6040995064172701,82089.06928571429,83057.65142857142,signal,
trailing_stop,82122.65,,9995.722004865607,0.6088575822100282,,,trailing_stop,-0.9559084189939162
buy,81694.64,0.0035929632769068553,9702.196163425482,0.7214386979693463,80959.48285714285,83164.95428571428,signal,
trailing_stop,81628.38,,9995.48393511888,0.6813219593875144,,,trailing_stop,-0.2380697467278294
buy,81610.21,0.00354477355447119,9706.19422093604,0.6873143483508715,81051.36535714286,82727.8992857143,signal,
trailing_stop,81631.36,,9995.558907079558,0.7012669782089511,,,trailing_stop,0.07497196067704504
buy,81851.51,0.003589868180284587,9701.722775822313,0.7003250660251366,81319.28499999999,82915.96,signal,
trailing_stop,81376.18,,9993.852535037424,0.674371787680886,,,trailing_stop,-1.706372042134679
buy,81475.21,0.003285949425787706,9726.129115521991,0.6083150545466713,80948.6242857143,82528.38142857143,signal,
close_long,81989.35,,9995.541973075198,0.7337842090153006,,,signal,1.6894380377744893
buy,81905.9,0.0038998827194606372,9676.118569043327,0.776443668164126,81494.83571428571,82728.02857142856,signal,
trailing_stop,81990.26,,9995.870967181412,0.6413588039337049,,,trailing_stop,0.3289941062137016
buy,81925.38,0.003513980476759223,9707.986781310332,0.6621248616316794,81560.71392857144,82654.71214285716,signal,
trailing_stop,81994.72,,9996.11462658767,0.6206946875490822,,,trailing_stop,0.24365940625847227
buy,81992.14,0.003483410630845471,9710.5023344659,0.6384405295320488,81787.92571428571,82400.56857142856,signal,
take_profit,82500.89,,9997.886811746113,0.0,,,take_profit,1.7721851584426334
buy,82395.74,0.0040265586795568764,9666.115529690602,0.8081099203131002,82077.17392857143,83032.87214285716,signal,
take_profit,83047.51,,10000.511201896688,0.8140048380130228,,,take_profit,2.6243901505747433
buy,83041.89,0.003995205503381423,9668.741785957494,0.807815505752267,82720.72392857143,83684.22214285715,signal,
trailing_stop,82869.51,,9999.822508372017,0.6378288062053137,,,trailing_stop,-0.6886935246729083
buy,82851.98,0.003420306067118801,9716.443378505212,0.6479364575658827,82465.10678571429,83625.72642857142,signal,
trailing_stop,82598.7,,9998.956213251337,0.6522879871978088,,,trailing_stop,-0.8662951206798459
buy,82666.87,0.003346166548921759,9722.339098153272,0.6229619410689095,82297.94499999999,83404.72,signal,
trailing_stop,82820.32,,9999.469682508268,0.6499753624769403,,,trailing_stop,0.5134692569320829
buy,82830.77,0.0034659608475942423,9712.381476712184,0.6445497378710311,82609.78071428572,83272.74857142859,signal,
take_profit,83284.21,,10001.041287795,0.0,,,take_profit,1.5716052867331414
buy,83227.03,0.003807344417363902,9684.167319750723,0.7503611501680155,82962.47642857143,83756.13714285713,signal,
take_profit,83760.35,,10003.07182071967,0.8373284204643959,,,take_profit,2.0305329246685426
buy,83585.01,0.0037984929412137533,9685.574750243388,0.7519195779806127,83322.6225,84109.785,signal,
trailing_stop,83619.45,,10003.202640816564,0.664976754801935,,,trailing_stop,0.13082009689541052
buy,83645.15,0.0034649995727734193,9713.372231801995,0.6661830680769014,83292.36964285714,84350.7107142857,signal,
trailing_stop,83931.99,,10004.196541294019,0.7500118641968039,,,trailing_stop,0.9939004774543659
buy,83702.0,0.0035662112256672402,9705.69752928322,0.710981385855446,83203.71250000001,84698.57499999998,signal,
take_profit,84704.0,,10007.769884942138,0.0,,,take_profit,3.5733436481185747
buy,84587.92,0.00376427787904434,9689.357448851766,0.7792092487334326,84093.795,85576.17,signal,
trailing_stop,84274.97,,10006.591854179891,0.7039207924413202,,,trailing_stop,-1.1780307622469153
buy,84014.84,0.003381510019455689,9722.494830936925,0.6578548518334357,83539.94178571428,84964.63642857142,signal,
take_profit,85313.42,,10010.983015460955,0.0,,,take_profit,4.391161281064774
buy,85219.63,0.0034234489585892236,9719.237961886096,0.751668265406633,84104.46214285714,87449.96571428572,signal,
close_long,86760.29,,10016.257386333495,0.7667964021755165,,,signal,5.274370872540035
buy,86784.64,0.0037528230699881244,9690.56998722088,0.803791138011961,86276.52571428572,87800.86857142858,signal,
trailing_stop,86800.6,,10016.317281389693,0.6029760415525777,,,trailing_stop,0.059895056197034495
buy,86777.3,0.0030923498963339744,9747.97150673055,0.6142234989058235,86153.08928571429,88025.72142857143,signal,
trailing_stop,86051.32,,10014.072297211951,0.6899239124954347,,,trailing_stop,-2.244984177740526
buy,86214.52,0.0032315826593339106,9735.462949397155,0.657961391053062,85519.81285714287,87603.93428571429,signal,
trailing_stop,85759.7,,10012.602508786833,0.0,,,trailing_stop,-1.4697884251182718
buy,85858.04,0.003322734757911585,9727.31901503267,0.6680657150599716,85304.48285714285,86965.15428571429,signal,
trailing_stop,85825.55,,10012.49455313455,0.6458241920567978,,,trailing_stop,-0.10795565228451645
buy,85834.8,0.003224212891281938,9735.744884453943,0.6082758433287816,85603.92678571428,86296.54642857144,signal,
trailing_stop,85599.09,,10011.734573913945,0.0,,,trailing_stop,-0.7599792206040863
buy,85603.2,0.003265269951712139,9732.21701718354,0.6207032290369816,85340.70892857142,86128.18214285714,signal,
trailing_stop,85737.07,,10012.171695602381,0.7361767332636633,,,trailing_stop,0.4371216884357364
buy,85717.37,0.0037101771279359603,9694.145069961556,0.7493081125643697,85481.41642857142,86189.27714285714,signal,
trailing_stop,85717.39,,10012.171769805922,0.6750374697692249,,,trailing_stop,7.420354257383645e-05
buy,85764.26,0.0033796427872014104,9722.319207097256,0.6506463863014724,85557.48142857142,86177.81714285714,signal,
take_profit,86267.49,,10013.872507445727,0.0,,,take_profit,1.700737639803401
buy,86145.69,0.003923234888364918,9675.902730955459,0.8174011575120251,85904.92392857143,86627.22214285715,signal,
trailing_stop,85958.1,,10013.13654781302,0.6503388428119148,,,trailing_stop,-0.7359596327083613
buy,86020.01,0.003289843287928594,9730.144195286968,0.6301754778812255,85780.76178571428,86498.50642857143,signal,
trailing_stop,85825.34,,10012.496114020158,0.0,,,trailing_stop,-0.6404337928610536
buy,85321.54,0.003317562586597284,9729.436565085294,0.6571775124072177,84803.02035714284,86358.57928571428,signal,
trailing_stop,85272.73,,10012.334183790306,0.6344464219353148,,,trailing_stop,-0.1619302298518057
buy,85276.69,0.003352908011118577,9726.40928672763,0.6406380976432724,85035.22750000001,85759.615,signal,
trailing_stop,85134.77,,10011.858339085367,0.6440401941351879,,,trailing_stop,-0.47584470493794256
buy,85540.27,0.0038591042450143716,9681.749520008692,0.8001271304716626,85215.74678571429,86189.31642857143,signal,
take_profit,86332.72,,10014.916486244329,0.0,,,take_profit,3.0581471589616274
buy,86119.3,0.0034640348249089944,9716.596231947544,0.7288460773270363,85417.37142857144,87523.15714285713,signal,
trailing_stop,85562.41,,10012.987399890686,0.6214680563350443,,,trailing_stop,-1.9290863536435678
buy,85912.77,0.00319189951593223,9738.76247091529,0.6627823515617394,85015.5967857143,87707.11642857142,signal,
trailing_stop,84939.46,,10009.880692172836,0.0,,,trailing_stop,-3.1067077178519913
buy,85041.83,0.0032328790712363854,9734.950739786193,0.6652519282743123,84157.66750000001,86810.155,signal,
trailing_stop,84331.1,,10007.582988030535,0.604281607957571,,,trailing_stop,-2.297704142299823
buy,84053.13,0.0031335179549899046,9744.200996002435,0.6028614829674475,83391.88714285714,85375.61571428573,signal,
trailing_stop,84336.95,,10008.47234309652,0.6329394113654565,,,trailing_stop,0.889355065985211
buy,84293.58,0.003428626928094994,9719.46110484299,0.6526469916633894,84043.24785714285,84794.24428571429,signal,
trailing_stop,84288.0,,10008.45321135826,0.6853006831449925,,,trailing_stop,-0.01913173825877605
buy,84311.79,0.0035006668416694177,9713.305723743466,0.6745583215624682,84051.44892857142,84832.47214285712,signal,
trailing_stop,84012.08,,10007.404026499144,0.6970390271490031,,,trailing_stop,-1.0491848591167126
buy,84080.7,0.0035021011245558085,9712.944912475705,0.6744954995562454,83798.875,84644.34999999999,signal,
trailing_stop,83969.56,,10007.01480298016,0.0,,,trailing_stop,-0.3892235189831305
buy,84042.46,0.0032731007688571604,9731.935362537513,0.6075257811232271,83768.11535714287,84591.14928571429,signal,
close_long,84427.85,,10008.276223285471,0.7368404474286301,,,signal,1.2614203053098592
buy,84304.35,0.003814562949911086,9686.691973259134,0.7649053651742543,84043.56964285715,84825.91071428572,signal,
trailing_stop,84383.59,,10008.578489253621,0.622455235075672,,,trailing_stop,0.30226596815091894
buy,84541.14,0.003809391904949923,9686.528154902384,0.7617221120364293,84324.25428571428,84974.91142857143,signal,
trailing_stop,84574.53,,10008.705684849328,0.6127712500488269,,,trailing_stop,0.1271955957062757
buy,84547.56,0.0033158150921308964,9728.361609398486,0.620865151931761,84320.16357142857,85002.35285714285,signal,
trailing_stop,84479.38,,10008.479612576346,0.0,,,trailing_stop,-0.22607227298146135
buy,84400.65,0.0034472526850209332,9717.529245246335,0.6602826123940008,84139.41785714285,84923.11428571428,signal,
close_long,84728.24,,10009.608898083432,0.7453165679911837,,,signal,1.1292855070860457
buy,84700.0,0.0036424818640339997,9701.090684199753,0.7119903251294002,84518.53035714287,85062.93928571428,signal,
trailing_stop,84504.99,,10008.898577695127,0.663899723030735,,,trailing_stop,-0.7103203883052512
buy,84532.61,0.0035014439367919785,9712.912382949426,0.6690750438586511,84356.94214285715,84883.94571428571,signal,
trailing_stop,84356.01,,10008.280222695888,0.0,,,trailing_stop,-0.6183549992374838
buy,84383.87,0.00334348468068291,9726.14404605415,0.6253098492841438,84175.17178571428,84801.26642857143,signal,
trailing_stop,84229.17,,10007.762985615787,0.6001281334752091,,,trailing_stop,-0.5172370801016365
buy,84209.64,0.0032625185974994924,9733.02746902705,0.6059741108977073,83938.07928571428,84752.76142857144,signal,
trailing_stop,83990.91,,10007.049374922957,0.0,,,trailing_stop,-0.7136106928310507
buy,84024.62,0.0033191540056875125,9728.158720873585,0.6219540266054544,83735.38607142855,84603.08785714286,signal,
trailing_stop,83794.17,,10006.284475882347,0.0,,,trailing_stop,-0.7648990406106776
buy,83910.83,0.0032636005405095128,9732.433045739745,0.6052709864587582,83616.48714285714,84499.51571428574,signal,
trailing_stop,83839.62,,10006.052074887857,0.0,,,trailing_stop,-0.2324009944897033
buy,83849.6,0.0034808963514276793,9714.180308179186,0.6698181465378232,83527.43750000001,84493.925,signal,
close_long,83741.86,,10005.677043114953,0.6444078071356136,,,signal,-0.3750317729028364
buy,83895.89,0.0034129704515159136,9719.342849541323,0.6529526918767281,83551.59714285715,84584.47571428571,signal,
close_long,84217.3,,10006.774005947775,0.7222994012243045,,,signal,1.0969628328217418
buy,84088.48,0.0037021623523078853,9695.46480102898,0.7324840319169725,83804.23357142856,84656.97285714286,signal,
trailing_stop,84040.1,,10006.59489533317,0.649728575393812,,,trailing_stop,-0.17911061460461886
buy,83965.47,0.003497842668654875,9712.896891673508,0.669433689834621,83709.88428571429,84476.64142857143,signal,
trailing_stop,84002.31,,10006.723755857083,0.6604613444651626,,,trailing_stop,0.12886052391323338
buy,84011.65,0.0034542088724851135,9716.52996903497,0.6567046211055692,83763.70535714284,84507.53928571429,signal,
trailing_stop,84144.22,,10007.181680327309,0.7642924187053205,,,trailing_stop,0.45792447022537563
buy,83890.25,0.0035501888761723076,9709.355447957994,0.6853793881365255,83615.70714285715,84439.3357142857,signal,
trailing_stop,83467.98,,10005.682542070566,0.5841865598946769,,,trailing_stop,-1.4991382567412948
buy,83519.87,0.003381291357211294,9723.277527484155,0.6434086239771482,83135.86642857142,84287.87714285713,signal,
trailing_stop,83418.02,,10005.338157545833,0.0,,,trailing_stop,-0.3443845247319408
buy,83786.58,0.003307023552268961,9728.253964121766,0.6478027752070723,83167.28892857142,85025.16214285715,signal,
trailing_stop,83750.0,,10005.217186624292,0.677178322967658,,,trailing_stop,-0.12097092154200437
