type,price,position,capital,stop_loss,take_profit,reason,profit
close_long,99285.72,,10792.320719472613,,,signal,206.06112804307764
buy,99392.38,0.07238865272819112,3597.4402398242046,96410.6086,105355.92280000001,signal,
close_long,99262.74,,10782.936254532931,,,signal,-9.384464939682655
buy,99333.64,0.07236847627539493,3594.3120848443104,96353.6308,105293.6584,signal,
close_long,99118.86,,10767.392953198501,,,signal,-15.54330133442924
buy,99373.38,0.07223526027593105,3589.1309843994995,96392.1786,105335.78280000002,signal,
close_long,99174.6,,10753.034028160851,,,signal,-14.35892503764949
buy,99393.43,0.07212437836290825,3584.3446760536162,96411.62709999998,105357.0358,signal,
close_long,99371.95,,10751.484796513618,,,signal,-1.5492316472349752
buy,99746.03,0.07185906577945086,3583.8282655045386,96753.6491,105730.7918,signal,
close_long,102604.88,,10956.9190867172,,,signal,205.43429020358352
buy,102917.28,0.07097557110407633,3652.3063622390673,99829.7616,109092.3168,signal,
close_long,102730.98,,10943.696337820511,,,signal,-13.222748896689627
buy,102738.43,0.07101332537928609,3647.8987792735043,99656.27709999999,108902.7358,signal,
close_long,102559.98,,10931.024009906578,,,signal,-12.672327913933396
buy,102619.04,0.07101361832987055,3643.6746699688592,99540.46879999999,108776.1824,signal,
close_long,103051.98,,10961.768645826312,,,signal,30.74463591973432
buy,103038.59,0.0709233867028286,3653.922881942104,99947.4323,109220.9054,signal,
close_long,102628.22,,10932.663815625074,,,signal,-29.104830201239444
buy,102842.25,0.07087011946695107,3644.221271875025,99756.9825,109012.785,signal,
close_long,102582.68,,10914.268058715037,,,signal,-18.395756910036983
buy,102841.7,0.07075124882037176,3638.089352905011,99756.449,109012.202,signal,
close_long,102904.76,,10918.729632465649,,,signal,4.461573750612478
buy,102899.98,0.07074008263471415,3639.5765441552157,99812.9806,109073.9788,signal,
close_long,103190.47,,10939.278919070208,,,signal,20.549286604558485
buy,103364.97,0.07055439200256598,3646.426306356735,100264.0209,109566.86820000001,signal,
close_long,103259.99,,10931.872118997779,,,signal,-7.406800072429089
buy,103296.9,0.07055308287081723,3643.957372999259,100197.99299999999,109494.71399999999,signal,
close_long,103102.57,,10918.161538403494,,,signal,-13.710580594285009
buy,103205.57,0.0705269527500857,3639.3871794678307,100109.4029,109397.90420000002,signal,
close_long,103132.02,,10912.974281028724,,,signal,-5.1872573747690085
buy,103214.17,0.07048757149674781,3637.658093676242,100117.74489999999,109407.0202,signal,
close_long,103208.0,,10912.539372712588,,,signal,-0.4349083161348109
buy,103273.74,0.07044410562138119,3637.5131242375282,100175.5278,109470.16440000001,signal,
close_long,104015.85,,10964.816647935271,,,signal,52.27727522268324
